Symbol,Date,Adjusted_price
AMZN,2015-10-30,632.16
AMCR,2020-10-30,10.53
AMCR,2020-09-30,11.16
AMCR,2020-07-31,10.29
AMCR,2020-04-30,8.87
AMCR,2019-10-31,9.19
AMCR,2017-10-31,10.69
AMCR,2015-10-30,7.74
AEE,2020-10-30,81.93
AEE,2020-09-30,79.87
AEE,2020-07-31,80.54
AEE,2020-04-30,72.55
AEE,2019-10-31,76.51
AEE,2017-10-31,57.67
AEE,2015-10-30,37.96
AAL,2020-10-30,11.39
AAL,2020-09-30,12.41
AAL,2020-07-31,11.23
AAL,2020-04-30,12.13
AAL,2019-10-31,30.15
AAL,2017-10-31,45.99
AAL,2015-10-30,44.51
AEP,2020-10-30,90.83
AEP,2020-09-30,82.55
AEP,2020-07-31,87.03
AEP,2020-04-30,82.52
AEP,2019-10-31,92.36
AEP,2017-10-31,67.96
AEP,2015-10-30,48.18
AXP,2020-10-30,92.15
AXP,2020-09-30,100.83
AXP,2020-07-31,93.86
AXP,2020-04-30,91.36
AXP,2019-10-31,116.37
AXP,2017-10-31,92.07
AXP,2015-10-30,68.18
AIG,2020-10-30,31.8
AIG,2020-09-30,27.81
AIG,2020-07-31,32.1
AIG,2020-04-30,25.14
AIG,2019-10-31,51.39
AIG,2017-10-31,59.59
AIG,2015-10-30,55.77
AMT,2020-10-30,231.95
AMT,2020-09-30,244.15
AMT,2020-07-31,262.73
AMT,2020-04-30,238.22
AMT,2019-10-31,216.41
AMT,2017-10-31,136.99
AMT,2015-10-30,93.62
AWK,2020-10-30,152.02
AWK,2020-09-30,146.33
AWK,2020-07-31,148.2
AWK,2020-04-30,121.89
AWK,2019-10-31,122.49
AWK,2017-10-31,83.84
AWK,2015-10-30,52.57
AMP,2020-10-30,162.44
AMP,2020-09-30,155.65
AMP,2020-07-31,154.13
AMP,2020-04-30,114.33
AMP,2019-10-31,148.32
AMP,2017-10-31,146.21
AMP,2015-10-30,102.34
ABC,2020-10-30,97.03
ABC,2020-09-30,97.89
ABC,2020-07-31,100.78
ABC,2020-04-30,89.74
ABC,2019-10-31,84.68
ABC,2017-10-31,73.6
ABC,2015-10-30,89.29
AME,2020-10-30,99.18
AME,2020-09-30,100.39
AME,2020-07-31,94.01
AME,2020-04-30,84.39
AME,2019-10-31,91.87
AME,2017-10-31,66.74
AME,2015-10-30,53.48
AMGN,2020-10-30,219.11
AMGN,2020-09-30,256.7
AMGN,2020-07-31,245.47
AMGN,2020-04-30,238.39
AMGN,2019-10-31,209.62
AMGN,2017-10-31,162.35
AMGN,2015-10-30,139.16
APH,2020-10-30,113.97
APH,2020-09-30,109.35
APH,2020-07-31,106.57
APH,2020-04-30,88.7
APH,2019-10-31,100.27
APH,2017-10-31,85.28
APH,2015-10-30,52.17
ADI,2020-10-30,119.72
ADI,2020-09-30,117.91
ADI,2020-07-31,115.4
ADI,2020-04-30,109.53
ADI,2019-10-31,105.48
ADI,2017-10-31,86.7
ADI,2015-10-30,54.26
ANSS,2020-10-30,307.41
ANSS,2020-09-30,330.5
ANSS,2020-07-31,313.71
ANSS,2020-04-30,264.45
ANSS,2019-10-31,222.35
ANSS,2017-10-31,138.08
ANSS,2015-10-30,96.26
ANTM,2020-10-30,275.53
ANTM,2020-09-30,271.28
ANTM,2020-07-31,275.56
ANTM,2020-04-30,281.64
ANTM,2019-10-31,268.2
ANTM,2017-10-31,203.67
ANTM,2015-10-30,130.77
AON,2020-10-30,185.85
AON,2020-09-30,207.85
AON,2020-07-31,206.76
AON,2020-04-30,173.6
AON,2019-10-31,193.31
AON,2017-10-31,140.27
AON,2015-10-30,89.11
AOS,2020-10-30,52.21
AOS,2020-09-30,53.06
AOS,2020-07-31,48.38
AOS,2020-04-30,42.4
AOS,2019-10-31,49.16
AOS,2017-10-31,56.71
AOS,2015-10-30,35.99
APA,2020-10-30,8.38
APA,2020-09-30,9.54
APA,2020-07-31,15.46
APA,2020-04-30,13.15
APA,2019-10-31,21.55
APA,2017-10-31,38.78
APA,2015-10-30,42.43
AIV,2020-10-30,31.4
AIV,2020-09-30,33.19
AIV,2020-07-31,37.78
AIV,2020-04-30,36.23
AIV,2019-10-31,52.0
AIV,2017-10-31,37.51
AIV,2015-10-30,31.31
AAPL,2020-10-30,109.95
AAPL,2020-09-30,116.97
AAPL,2020-07-31,107.13
AAPL,2020-04-30,73.85
AAPL,2019-10-31,62.2
AAPL,2017-10-31,41.0
AAPL,2015-10-30,27.89
AMAT,2020-10-30,59.82
AMAT,2020-09-30,60.04
AMAT,2020-07-31,64.76
AMAT,2020-04-30,49.81
AMAT,2019-10-31,54.05
AMAT,2017-10-31,54.42
AMAT,2015-10-30,15.66
APTV,2020-10-30,97.45
APTV,2020-09-30,92.6
APTV,2020-07-31,78.53
APTV,2020-04-30,70.25
APTV,2019-10-31,90.01
APTV,2017-10-31,81.93
APTV,2015-10-30,66.06
ADM,2020-10-30,46.7
ADM,2020-09-30,46.95
ADM,2020-07-31,42.9
ADM,2020-04-30,36.83
ADM,2019-10-31,41.03
ADM,2017-10-31,37.42
ADM,2015-10-30,39.33
ANET,2020-10-30,210.99
ANET,2020-09-30,209.0
ANET,2020-07-31,262.37
ANET,2020-04-30,221.49
ANET,2019-10-31,247.02
ANET,2017-10-31,201.89
ANET,2015-10-30,65.16
AJG,2020-10-30,104.75
AJG,2020-09-30,106.64
AJG,2020-07-31,108.11
AJG,2020-04-30,78.59
AJG,2019-10-31,90.52
AJG,2017-10-31,60.14
AJG,2015-10-30,38.78
AIZ,2020-10-30,125.61
AIZ,2020-09-30,122.52
AIZ,2020-07-31,107.99
AIZ,2020-04-30,106.09
AIZ,2019-10-31,124.74
AIZ,2017-10-31,95.07
